Addison Road,979,731
Anacostia,769,891
Archives-Navy Memorial,619,683
Arlington Cemetery,359,705
Ballston,189,649
Benning Road,897,731
Bethesda,237,289
Braddock Road,429,1039
Branch Avenue,919,1039
Brookland,759,389
Capitol Heights,935,729
Capitol South,711,729
Cheverly,969,609
Clarendon,269,649
Cleveland Park,359,411
College Park-U of MD,939,229
Columbia Heights,669,339
Congress Heights,799,921
Court House,309,649
Crystal City,429,909
Deanwood,929,609
Dunn Loring,69,651
Dupont Circle,417,471
East Falls Church,151,651
Eastern Market,749,731
Eisenhower Avenue,429,1129
Farragut North,447,501
Farragut West,443,559
Federal Center SW,669,731
Federal Triangle,519,667
Foggy Bottom,399,599
Forest Glen,759,211
Fort Totten,759,341
Franconia-Springfield,329,1161
Friendship Heights,269,321
Gallery Place-Chinatown,619,599
Georgia Avenue-Petworth,715,341
Glenmont,759,131
Greenbelt,939,189
Grosvenor,179,231
Huntington,431,1181
Judiciary Square,759,581
King Street,429,1079
Landover,1009,609
Largo Town Center,1056,731
L'Enfant Plaza,619,729
McPherson Square,499,561
Medical Center,207,261
Metro Center,519,599
Minnesota Avenue,889,609
Morgan Blvd.,1023,729
Mt. Vernon Square-UDC,619,519
Navy Yard,739,861
Naylor Road,859,979
New Carrollton,1051,609
New York Ave,759,495
Pentagon,429,819
Pentagon City,429,869
Potomac Avenue,793,731
Prince George's Plaza,939,275
Reagan Washington National Airport,429,965
Rhode Island Avenue,761,437
Rockville,61,181
Rosslyn,359,577
Shady Grove,19,179
Shaw-Howard University,619,391
Silver Spring,759,251
Smithsonian,525,723
Southern Avenue,829,949
Stadium-Armory,837,729
Suitland,889,1009
Takoma,759,289
Tenleytown-AU,299,351
Twinbrook,99,179
U Street-Cardozo,627,345
Union Station,759,545
Van Dorn Street,375,1111
Van Ness-UDC,327,381
Vienna,29,651
Virginia Square-GMU,229,649
Waterfront,711,829
West Falls Church,111,649
West Hyattsville,939,319
Wheaton,759,169
White Flint,149,201
Woodley Park-Zoo,387,439
